Name,Value,Change,Volume,High,Low
NED-NEDBANK GROUP LTD,"18,064", -0.3%,0.99M,18.17K,17.84K
NRP-NEPI ROCKCASTLE PLC,"10,350", -0.58%,0.96M,10.41K,10.24K
NT1-NET 1 UEPS TECH INC,"6,627", 3.89%,748,6.63K,6.63K
NTC-NETCARE LIMITED,"1,643", -2.49%,3.78M,1.67K,1.63K
NFP-NEW FRONTIER PROP LTD,5,0%,0,0,0
NRL-NEWPARK REIT LTD,400,0%,0,0,0
NCS-NICTUS LTD,80,0%,0,0,0
NY1-NINETY ONE LIMITED,"5,124", -0.12%,515.93K,5.12K,5.05K
N91-NINETY ONE PLC,"5,219", -1.16%,3.36M,5.26K,5.18K
NHM-NORTHAM PLATINUM LTD,"18,614", 1.44%,1.09M,19.05K,18.32K
NVS-NOVUS HOLDINGS LIMITED,289,0%,2.87M,294,285
NWL-NU-WORLD HLDGS LTD,"2,939",0%,0,0,0
NUT-NUTRITIONAL HOLDINGS LTD,25,0%,0,0,0
NVE-NVEST FINANCIAL HLDGS LTD,209, -0.48%,299,209,209
OAO-OANDO PLC,19,0%,20.17K,21,19
OAS-OASIS CRESCENT PROP FUND,"2,200",0%,0,0,0
OCE-OCEANA GROUP LTD,"6,344", 1.5%,114.35K,6.42K,6.22K
OCT-OCTODEC INVEST LTD,905, -4.64%,80.43K,0.92K,861
OMU-OLD MUTUAL LIMITED,"1,543", -2.03%,12.67M,1.58K,1.53K
OMN-OMNIA HOLDINGS LTD,"5,427", 1.25%,145.32K,5.43K,5.34K
OLG-ONELOGIX GROUP LTD,257, 2.8%,3K,257,257
ORN-ORION MINERALS LIMITED,31, -3.13%,3.90M,32,31
PAN-PAN AFRICAN RESOURCE PLC,340,0%,1.78M,340,332
PBG-PBT GROUP LIMITED,468, -8.24%,2.05K,510,468
PEM-PEMBURY LIFESTYLE GRP LT,10,0%,0,0,0
PPH-PEPKOR HOLDINGS LTD,"2,220", -0.54%,2.17M,2.24K,2.20K
PIK-PICK N PAY STORES LTD,"5,616", -1.11%,1.93M,5.69K,5.54K
PPC-PPC LIMITED,366, 2.81%,3.18M,367,352
PFB-PREMIER FISHING BRANDS LTD,78, 1.3%,49,78,78
PMV-PRIMESERV GROUP LTD,99,0%,15,99,91
PRX-PROSUS N.V.,"136,000", 2.06%,1.37M,136.78K,134.87K
PSG-PSG GROUP LTD,"7,375", 0.22%,134.19K,7.38K,7.25K
KST-PSG KONSULT LIMITED,"1,148", 2.96%,99.67K,1.15K,1.10K
PSV-PSV HOLDINGS LTD,8,0%,0,0,0
PPE-PURPLE GROUP LTD,156, -0.64%,210.02K,158,148
PPR-PUTPROP LTD,478, -2.45%,641,488,478
QFH-QUANTUM FOODS HLDGS LTD,560, 0.18%,817,564,550
QLT-QUILTER PLC,"2,979", -0.03%,1.12M,2.99K,2.97K
RMI-RAND MERCHANT INV HLDGS LTD,"3,023", -0.33%,807.39K,3.06K,3.01K
RNG-RANDGOLD & EXPL CO LTD,110,0%,0,0,0
RBX-RAUBEX GROUP LTD,"2,950", -0.61%,112.47K,3.03K,2.80K
RAV-RAVEN PROPERTY GROUP LTD,950,0%,0,0,0
RCL-RCL FOODS LIMITED,"1,127", 8.16%,0.93M,1.14K,1.05K
REB-REBOSIS PROPERTY FUND LTD,27, -10%,87.80K,27,27
REA-REBOSIS PROPERTY FUND LTD A,75,0%,20K,75,75
RDF-REDEFINE PROPERTIES LTD,429, -1.15%,4.71M,435,426
RNI-REINET INVESTMENTS S.C.A,"27,301", -0.75%,182.72K,27.51K,27.21K
REM-REMGRO LTD,"11,625", -0.78%,595.26K,11.75K,11.55K
REN-RENERGEN LIMITED,"2,123", 1.97%,146.11K,2.15K,2.08K
RENN-RENERGEN LIMITED NPL,29,0%,0,0,0
